company_name,ticker,hq_location,company_size,product_name,indication,modality,trigger_event,trigger_date,event_source,stage,pdufa_date,competitors,fit_score,fit_rationale,date_added
ARGENX BV,ARGX,"Breda, Netherlands",Mid,VYVGART HYTRULO,"Rare autoimmune diseases (myasthenia gravis, CIDP, other FcRn-mediated conditions)",biologic,Indication Expansion Approved,2026-05-08,OpenFDA (api.fda.gov),Expanding,,"UCB (Rystiggo), Immunovant, Regeneron, Janssen",High,Mid-cap biotech with rare autoimmune focus; indication expansion <30 days represents high MA intensity opportunity. Specialty/rare disease profile with complex KOL engagement needs.,2026-06-13
Amneal Pharmaceuticals,AMRX,"Bridgewater, USA",Mid,PYRIDOSTIGMINE BROMIDE,Myasthenia gravis,small molecule,Indication Expansion Approved,2026-05-12,OpenFDA (api.fda.gov),Expanding,,"Bausch Health (Mestinon), Mylan, Rising Pharma",Medium,"Mid-size company with rare neuromuscular disease indication (myasthenia gravis). However, pyridostigmine is a mature generic with limited innovation. Rare disease complexity offers some MA needs, but generic status limits strategic value.",2026-06-13
Pfizer Inc,PFE,"New York, USA",Large,HYMPAVZI (marstacimab),Hemophilia A and B (rare bleeding disorder),biologic,Indication Expansion Approved,2026-06-05,OpenFDA (api.fda.gov),Expanding,,"Novo Nordisk (Alhemo), Sanofi (Altuviiio), Roche (Hemlibra), BioMarin",Medium,"Large company but HYMPAVZI is a novel rare disease biologic (hemophilia) launched 2024 with high MA intensity. Early post-launch expansion creates KOL engagement needs. However, Pfizer likely has established MA vendor relationships.",2026-06-13
ELI LILLY AND CO,LLY,"Indianapolis, USA",Large,EBGLYSS,Atopic dermatitis (moderate-to-severe),biologic,Indication Expansion Approved,2026-06-09,OpenFDA (api.fda.gov),Expanding,,"Sanofi/Regeneron (Dupixent), AbbVie (Rinvoq), Pfizer (Cibinqo), LEO Pharma (Adbry)",Medium,"Large pharma with established MA infrastructure, but EBGLYSS (lebrikizumab) is a recently launched specialty biologic with indication expansion creating potential underserved product team opportunity.",2026-06-13
Torrent Pharmaceuticals,TORNTPHARM.NS,"Ahmedabad, India",Mid,LENALIDOMIDE,"Multiple myeloma, myelodysplastic syndromes, mantle cell lymphoma",small molecule,Indication Expansion Approved,2026-04-27,OpenFDA (api.fda.gov),Expanding,,"Bristol-Myers Squibb (Revlimid originator), Teva, Cipla, Dr. Reddy's",Low,Generic manufacturer of established oncology product (Revlimid generic). Lenalidomide is a mature molecule with well-established MA infrastructure. Limited MA intelligence needs for generic expansion.,2026-06-13
Sun Pharmaceutical Industries Ltd,SUNPHARMA.NS,"Mumbai, India",Large,VALPROIC ACID,"Epilepsy, bipolar disorder, migraine prophylaxis",small molecule,Indication Expansion Approved,2026-05-05,OpenFDA (api.fda.gov),Expanding,,"AbbVie (Depakote), Mylan, Teva, Zydus",Low,Large generic company (~$40B+ market cap) with mature CNS/neurology product. Valproic acid is decades-old primary care/neurology standard with minimal MA intensity needs.,2026-06-13
Hospira (Pfizer subsidiary),PFE,"Lake Forest, USA",Large,LIDOCAINE HYDROCHLORIDE,"Local anesthesia, cardiac arrhythmias",small molecule,Indication Expansion Approved,2026-06-05,OpenFDA (api.fda.gov),Expanding,,"Fresenius Kabi, Hikma, Sagent, Akorn",Low,Hospira is a Pfizer subsidiary (Large company with established MA). Lidocaine is a commodity injectable anesthetic with no specialty MA needs. Hospital generic market with minimal KOL engagement.,2026-06-13
Strides Pharma Science Limited,STAR.NS,"Bangalore, India",Small,LOSARTAN POTASSIUM,"Hypertension, diabetic nephropathy, stroke risk reduction",small molecule,Indication Expansion Approved,2026-06-08,OpenFDA (api.fda.gov),Expanding,,"Merck (Cozaar originator), Teva, Aurobindo, Lupin, Sandoz",Low,Small generic manufacturer but Losartan is a highly commoditized primary care cardiovascular drug. Mature product (>20 years) with no specialty/rare disease complexity requiring MA intelligence.,2026-06-13
Barr Pharmaceuticals (Teva subsidiary),TEVA,"Pomona, USA",Large,TREXALL (Methotrexate),"Rheumatoid arthritis, psoriasis, oncology",small molecule,Indication Expansion Approved,2026-05-27,OpenFDA (api.fda.gov),Expanding,,"DAVA Pharmaceuticals, Mylan, Accord Healthcare, Hospira",Low,Barr is a Teva subsidiary (Large company). Methotrexate is a decades-old generic immunosuppressant/chemotherapy with well-established treatment protocols. Mature product with existing MA infrastructure at parent company.,2026-06-13
Cipla Limited,CIPLA.NS,"Mumbai, India",Mid,LENALIDOMIDE,"Multiple myeloma, myelodysplastic syndromes, mantle cell lymphoma",small molecule,Indication Expansion Approved,2026-04-27,OpenFDA (api.fda.gov),Expanding,,"Bristol-Myers Squibb (Revlimid originator), Teva, Torrent, Dr. Reddy's",Low,Mid-size generic manufacturer expanding generic oncology portfolio. Lenalidomide is a mature Revlimid generic with established competitive landscape. Generic expansion typically requires minimal MA intelligence investment.,2026-06-13
